"One operator can have multiple reports per year (OPERATOR_ID, REPORT_YEAR, PARTA5COMMODITY, REPORT_NUMBER)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Records sorted by REPORT_YEAR, OPERATOR_ID, PARTA5COMMODITY, REPORT_NUMBER.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA2NAMEOFPARENT_COM,PARTA4NAMEOFCOMP,PARTA4STREET,PARTA4CITY,PARTA4STATE,PARTA4ZIP,PARTA5COMMODITY,PARTA7INTER,PARTA7INTRA,PARTBHCAOFFSHORE,PARTBHCAONSHORE,PARTBHCATOTAL,PARTCONNG,PARTCONPG,PARTCONSG,PARTCONHG,PARTCONLFG,PARTCONOG,PARTCOFFNG,PARTCOFFPG,PARTCOFFSG,PARTCOFFHG,PARTCOFFLFG,PARTCOFFOG,PARTCOGNAME,PARTCCHECK,PARTDTONCPB,PARTDTONCPC,PARTDTONCUB,PARTDTONCUC,PARTDTONCI,PARTDTONWI,PARTDTONP,PARTDTONC,PARTDTONO,PARTDTONTOTAL,PARTDTOFFCPB,PARTDTOFFCPC,PARTDTOFFCUB,PARTDTOFFCUC,PARTDTOFFCI,PARTDTOFFWI,PARTDTOFFP,PARTDTOFFC,PARTDTOFFO,PARTDTOFFTOTAL,PARTDTCPBTOTAL,PARTDTCPCTOTAL,PARTDTCUBTOTAL,PARTDTCUCTOTAL,PARTDTCITOTAL,PARTDTWITOTAL,PARTDTPTOTAL,PARTDTCTOTAL,PARTDTOTOTAL,PARTDTTOTAL,PARTDGONTACPB,PARTDGONTACPC,PARTDGONTACUB,PARTDGONTACUC,PARTDGONTACI,PARTDGONTAWI,PARTDGONTAP,PARTDGONTAC,PARTDGONTAO,PARTDGONATOTAL,PARTDGONTBCPB,PARTDGONTBCPC,PARTDGONTBCUB,PARTDGONTBCUC,PARTDGONTBCI,PARTDGONTBWI,PARTDGONTBP,PARTDGONTBC,PARTDGONTBO,PARTDGONBTOTAL,PARTDGOFFCPB,PARTDGOFFCPC,PARTDGOFFCUB,PARTDGOFFCUC,PARTDGOFFCI,PARTDGOFFWI,PARTDGOFFP,PARTDGOFFC,PARTDGOFFO,PARTDGOFFTOTAL,PARTDGCPBTOTAL,PARTDGCPCTOTAL,PARTDGCUBTOTAL,PARTDGCUCTOTAL,PARTDGCITOTAL,PARTDGWITOTAL,PARTDGPTOTAL,PARTDGCTOTAL,PARTDGOTOTAL,PARTDGTOTAL,PARTDCPBTOTAL,PARTDCPCTOTAL,PARTDCUBTOTAL,PARTDCUCTOTAL,PARTDCITOTAL,PARTDWITOTAL,PARTDPTOTAL,PARTDCTOTAL,PARTDOTOTAL,PARTDTOTALMILES,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE,FORM_REV
08/01/22,2011,20120757,25329,3,ACADIAN GAS PIPELINE SYSTEM,,ENTERPRISE PRODUCTS PARTNERS LLC,1100 Lousiana,THIBODAUX,TX,77002,Natural Gas,,LOUISIANA,0,8.604,8.604,224050,,,, ,,,,,, ,,,No,0,709.77,0,0,0,0,0,0,0,709.77,0,0,0,0,0,0,0,0,0,0,0,709.77,0,0,0,0,0,0,0,709.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709.77,0,0,0,0,0,0,0,710,INITIAL,3/14/12,3/14/12,7100.2-1 (Rev. 06-2011)
08/01/22,2011,20120884,25475,21,ACACIA NATURAL GAS CORP,Devon Energy Corporation,Devon Energy Corporation,20 N. Broadway,THE WOODLANDS,OK,73102,Natural Gas,,TEXAS,0,0.17,0.17,251034.9,,,, ,,,,,, ,,,No,0,122.655,0,0,0,0,0,0,0,122.655,0,0,0,0,0,0,0,0,0,0,0,122.655,0,0,0,0,0,0,0,122.655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.655,0,0,0,0,0,0,0,123,INITIAL,3/15/12,3/15/12,7100.2-1 (Rev. 06-2011)
08/01/22,2011,20120897,25693,117,AIR PRODUCTS & CHEMICALS INC,,"Air Products and Chemicals, Inc.",7201 HAMILTON BLVD.,ALLENTOWN,PA,181951501,Hydrogen Gas,TEXAS,"CALIFORNIA, LOUISIANA, OHIO, TEXAS",0,14,14,,,,328681, ,,,,,, ,,,No,0,460,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,460,SUPPLEMENTAL,3/15/12,4/16/12,7100.2-1 (Rev. 06-2011)
08/01/22,2011,20120900,25492,117,AIR PRODUCTS & CHEMICALS INC,,"Air Products and Chemcials, Inc.",7201 HAMILTON BLVD.,ALLENTOWN,PA,181951501,Other Gas-Carbon Monoxide (CO),,TEXAS,0,2.6,2.6,,,,, ,23692,,,,, ,,,No,0,90,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,90,INITIAL,3/15/12,3/15/12,7100.2-1 (Rev. 06-2011)
08/01/22,2011,20120901,25493,117,AIR PRODUCTS & CHEMICALS INC,,"Air Products and Chemicals, Inc.",7201 HAMILTON BLVD.,ALLENTOWN,PA,181951501,Synthetic Gas,,TEXAS,0,1.7,1.7,,,3661,, ,,,,,, ,,,No,0,22.5,0,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,0,0,0,0,0,0,0,23,INITIAL,3/15/12,3/15/12,7100.2-1 (Rev. 06-2011)
08/01/22,2011,20120819,25398,144,AJAX PIPELINE CO,BIG TWO MILE GAS COMPANY,Ajax Pipe Line Company,P.O. Box 6190,CHARLESTON,WV,25362,Natural Gas,,WEST VIRGINIA,,,,,,,,,,,,,,,,,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,21,0,0,34,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,21,0,0,34,0,13,0,0,0,0,21,0,0,34,INITIAL,3/15/12,3/15/12,7100.2-1 (Rev. 06-2011)
08/01/22,2011,20120612,25175,180,ALABAMA GAS CORPORATION,Energen,Alabama Gas Corporation,605 Richard Arrington Jr Blvd N,BIRMINGHAM,AL,35203,Natural Gas,,ALABAMA,0,24.8,24.8,,,,, ,,,,,, ,,,Yes,0.5,236,0,0,0,0,0,0,0,236.5,0,0,0,0,0,0,0,0,0,0,0.5,236,0,0,0,0,0,0,0,236.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,236,0,0,0,0,0,0,0,237,INITIAL,3/13/12,3/13/12,7100.2-1 (Rev. 06-2011)
08/01/22,2011,20120651,25445,189,"AMERICAN MIDSTREAM (ALATENN), LLC",,"American Midstream Partners, LP","1614 15TH STREET, SUITE 300",DENVER,CO,80202,Natural Gas,"ALABAMA, MISSISSIPPI, TENNESSEE",,0,13.81,13.81,16626.414,,,, ,,,,,, ,,,No,0,295,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,295,SUPPLEMENTAL,3/13/12,3/15/12,7100.2-1 (Rev. 06-2011)
08/01/22,2011,20120954,25548,207,ALASKA PIPELINE CO,,Alaska Pipeline Co.,3000 SPENARD ROAD P.O. BOX 190288,ANCHORAGE,AK,99519,Natural Gas,,ALASKA,0,31.9,31.9,20990.36,0,0,0, ,0,7785.38,0,0,0, ,0,,No,0,353.87,0,0,0,0,0,0,0,353.87,0,17.25,0,0,0,0,0,0,0,17.25,0,371.12,0,0,0,0,0,0,0,371.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.12,0,0,0,0,0,0,0,371,INITIAL,3/15/12,3/15/12,7100.2-1 (Rev. 06-2011)
08/01/22,2011,20120610,25173,288,ALGONQUIN GAS TRANSMISSION CO (SPECTRA ENERGY CORP),"Spectra Energy Transmission, LLC","Spectra Energy Transmission, LLC",5400 Westheimer Court,HOUSTON,TX,77056,Natural Gas,"CONNECTICUT, MASSACHUSETTS, NEW JERSEY, NEW YORK, RHODE ISLAND",,0,326.35,326.35,615900,,,, ,,0,,,, ,,,No,0,1084.83,0,0,0,0,0,0,0,1084.83,0,42.55,0,0,0,0,0,0,0,42.55,0,1127.38,0,0,0,0,0,0,0,1127.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127.38,0,0,0,0,0,0,0,1127,INITIAL,3/13/12,3/13/12,7100.2-1 (Rev. 06-2011)
08/01/22,2011,20121053,25738,383,AMARILLO NATURAL GAS INC,,"Amarillo Natural Gas, Inc.",2915 I-40 West,AMARILLO,TX,79109,Natural Gas,,TEXAS,,,,,,,, ,,,,,, ,,,Yes,0,15.4,0,0,0,0,0,0,0,15.4,0,0,0,0,0,0,0,0,0,0,0,15.4,0,0,0,0,0,0,0,15.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,0,0,0,0,0,0,0,15,INITIAL,5/7/12,5/7/12,7100.2-1 (Rev. 06-2011)
08/01/22,2011,20120174,24211,386,HESS CORPORATION,,HESS CORPORATION,1501 MCKINNEY STREET,HOUSTON,TX,77002,Natural Gas,,TEXAS,0,0,0,2779.6,,,, ,,,,,, ,,,No,0,6.4,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,6,INITIAL,2/28/12,2/28/12,7100.2-1 (Rev. 06-2011)
