"One operator can have multiple reports per year (OPERATOR_ID, REPORT_YEAR, PARTA5COMMODITY, REPORT_NUMBER)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Records sorted by REPORT_YEAR, OPERATOR_ID, PARTA5COMMODITY, REPORT_NUMBER.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA4STREET,PARTA4CITY,PARTA4STATE,PARTA4ZIP,PARTA4COUNTRY,PARTA5COMMODITY,PARTA7INTER,PARTA7INTRA,PARTBHCAOFFSHORE,PARTBHCAONSHORE,PARTBHCATOTAL,PARTCOFFCO2,PARTCOFFCRUDE,PARTCOFFETHANOL,PARTCOFFHVL,PARTCOFFRPP,PARTCONCO2,PARTCONCRUDE,PARTCONETHANOL,PARTCONHVL,PARTCONRPP,PARTDONCPB,PARTDONCPC,PARTDONCUB,PARTDONCUC,PARTDONCUP,PARTDONCUO,PARTDONTOTAL,PARTDOFFCPB,PARTDOFFCPC,PARTDOFFCUB,PARTDOFFCUC,PARTDOFFCUP,PARTDOFFCUO,PARTDOFFTOTAL,PARTDCPBTOTAL,PARTDCPCTOTAL,PARTDCUBTOTAL,PARTDCUCTOTAL,PARTDCUPTOTAL,PARTDCUOTOTAL,PARTDTOTALMILES,PARTEUNKNHF,PARTEUNKNLF,PARTEUNKNTOTAL,PARTEPRE40HF,PARTEPRE40LF,PARTEPRE40TOTAL,PARTE1940HF,PARTE1940LF,PARTE1940TOTAL,PARTE1950HF,PARTE1950LF,PARTE1950TOTAL,PARTE1960HF,PARTE1960LF,PARTE1960TOTAL,PARTE1970HF,PARTE1970LF,PARTE1970TOTAL,PARTE1980HF,PARTE1980LF,PARTE1980TOTAL,PARTE1990HF,PARTE1990LF,PARTE1990TOTAL,PARTE2000HF,PARTE2000LF,PARTE2000TOTAL,PARTE2010HF,PARTE2010LF,PARTE2010TOTAL,PARTE2020HF,PARTE2020LF,PARTE2020TOTAL,PARTETOTAL,PARTETOTALHF,PARTETOTALLF,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE,FORM_REV
8/1/2022,2016,20172847,15225,300,"PLAINS PIPELINE, L.P.","333 CLAY STREET, SUITE 1600",HOUSTON,TX,77002,,Crude Oil,"ALABAMA, CALIFORNIA, COLORADO, ILLINOIS, KANSAS, LOUISIANA, MISSISSIPPI, MONTANA, NEW MEXICO, NORTH DAKOTA, OKLAHOMA, TEXAS, UTAH, WYOMING","ALABAMA, CALIFORNIA, COLORADO, KANSAS, LOUISIANA, MISSISSIPPI, MONTANA, NEW MEXICO, NORTH DAKOTA, OKLAHOMA, TEXAS, WYOMING",,2312.33,2312.33,,,,,,,164879787377.000,,,,245.8,6597.34,0,0,0,2544.81,9387.95,0,0,0,0,0,0,0,245.8,6597.34,0,0,0,2544.81,9387.95,3.92,54.57,58.49,0.27,57.18,57.45,0,726.02,726.02,0.12,228.76,228.88,0,663.53,663.53,253.07,1.44,254.51,389.6,8.92,398.52,482.97,0.11,483.08,462.33,0.04,462.37,2017.29,0,2017.29,0,0,0,5350.14,3609.57,1740.57,INITIAL,06/15/17,6/15/17,7000-1.1 (Rev. 06-2014)
8/1/2022,2016,20172845,15223,300,"PLAINS PIPELINE, L.P.","333 CLAY STREET, SUITE 1600",HOUSTON,TX,77002,,HVL,"MICHIGAN, OHIO","CALIFORNIA, TEXAS",,121.23,121.23,,,,,,,,,180737672.000,,0,124.47,0,0,0,45.26,169.73,0,0,0,0,0,0,0,0,124.47,0,0,0,45.26,169.73,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,9.08,0,9.08,0,0,0,9.1,9.1,0,INITIAL,06/15/17,6/15/17,7000-1.1 (Rev. 06-2014)
8/1/2022,2016,20172840,15218,300,"PLAINS PIPELINE, L.P.","333 CLAY STREET, SUITE 1600",HOUSTON,TX,77002,,Refined and/or Petroleum Product (non-HVL),,CALIFORNIA,,0,0,,,,,,,,,,0.000,0,0,0,0,0,3.72,3.72,0,0,0,0,0,0,0,0,0,0,0,0,3.72,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INITIAL,06/15/17,6/15/17,7000-1.1 (Rev. 06-2014)
8/1/2022,2016,20172371,14719,395,AMOCO OIL CO,30S WACKER DRIVE,CHICAGO,IL,60606,,Refined and/or Petroleum Product (non-HVL),"ILLINOIS, INDIANA, IOWA, MICHIGAN, MINNESOTA, MISSOURI",,,661.90,661.90,,,,,,0.000,0.000,0,0.000,12247607387.000,0,1152,0,0,0,0,1152,0,0,0,0,0,0,0,0,1152,0,0,0,0,1152,0,0,0,0,1,1,0,15,15,0,0,0,0,1,1,1,1,2,17,0,17,59,0,59,4,0,4,0,0,0,0,0,0,99,81,18,INITIAL,03/08/17,3/8/17,7000-1.1 (Rev. 06-2014)
8/1/2022,2016,20172353,14699,401,HESS CORPORATION,1501 MCKINNEY STREET,HOUSTON,TX,77010,,CO2,,"NEW MEXICO, TEXAS",,0.00,0.00,,,,,,306291765.000,,,,,0,31.5,0,0,0,0,31.5,0,0,0,0,0,0,0,0,31.5,0,0,0,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,16,0,16,11.5,0,11.5,0,0,0,31.5,31.5,0,INITIAL,02/16/17,2/16/17,7000-1.1 (Rev. 06-2014)
8/1/2022,2016,20172855,15234,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC","1515 Arapahoe Street TOWER 1, SUITE 1600",Denver,CO,80202,,HVL,,TEXAS,,1.55,1.55,,,,,,0.000,0.000,0,408206669.000,0.000,0,49.3,0,0,0,0,49.3,0,0,0,0,0,0,0,0,49.3,0,0,0,0,49.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.3,0,49.3,0,0,0,0,0,0,49.3,49.3,0,INITIAL,06/15/17,6/15/17,7000-1.1 (Rev. 06-2014)
8/1/2022,2016,20172908,15290,473,ANADARKO PETROLEUM CORP,"1201 LAKE ROBBINS DR. POB 1330, HOUSTON, 77251-1330",THE WOODLANDS,TX,77380,,Crude Oil,,"COLORADO, TEXAS, WYOMING",,12,12,,,,,,0.000,6709937167.000,0,0.000,0.000,0,168.25,0,0,0,0,168.25,0,0,0,0,0,0,0,0,168.25,0,0,0,0,168.25,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,0,4,4,0,0,0,0,0,0,0,0,0,121.25,0,121.25,0,0,0,168.25,121.25,47,INITIAL,06/15/17,6/15/17,7000-1.1 (Rev. 06-2014)
8/1/2022,2016,20172910,15292,473,ANADARKO PETROLEUM CORP,"1201 LAKE ROBBINS DR. POB 1330, HOUSTON, 77251-1330",THE WOODLANDS,TX,77380,,HVL,,"COLORADO, UTAH, WYOMING",,0,0,,,,,,0.000,0.000,0,243835745.000,0.000,0,47.2,0,0,0,0,47.2,0,0,0,0,0,0,0,0,47.2,0,0,0,0,47.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,16.5,0,16.5,26.7,0,26.7,0,0,0,47.2,47.2,0,INITIAL,06/15/17,6/15/17,7000-1.1 (Rev. 06-2014)
8/1/2022,2016,20172427,14781,515,DAKOTA GASIFICATION COMPANY,GREAT PLAINS SYNFUELS PLANT 1717 EAST INTERSTATE AVENUE,BISMARCK,ND,58503-0564,,CO2,NORTH DAKOTA,,,32.9,32.9,,,,,,1839751590.000,,,,,0,167.04,0,0,0,0,167.04,0,0,0,0,0,0,0,0,167.04,0,0,0,0,167.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.55,0,164.55,2.22,0,2.22,0.27,0,0.27,0,0,0,167.04,167.04,0,INITIAL,05/01/17,5/1/17,7000-1.1 (Rev. 06-2014)
8/1/2022,2016,20172690,15065,879,CHEMOIL TERMINALS CORP.,"4 EMBARCADERO CTR., 34TH FLOOR",SAN FRANCISCO,CA,94111,,Refined and/or Petroleum Product (non-HVL),,CALIFORNIA,,0,0,,,,,,,,,,25.728,0,25.728,0,0,0,0,25.728,0,0,0,0,0,0,0,0,25.728,0,0,0,0,25.728,0,5.155,5.155,0.265,0,0.265,0,0,0,2.162,0,2.162,3.972,0,3.972,5.181,0,5.181,0,0,0,0.384,0,0.384,4.222,0,4.222,4.387,0,4.387,0,0,0,25.728,20.573,5.155,INITIAL,06/13/17,6/13/17,7000-1.1 (Rev. 06-2014)
8/1/2022,2016,20172860,15239,994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP",ONE WILLIAMS CENTER P.O. BOX 645,TULSA,OK,74172,,Crude Oil,OCS-Gulf of Mexico,,0.00,,0.00,0,176140829,0,0,0,,,,,,0,0,0,0,0,0,0,0,25.38,0,0,0,0,25.38,0,25.38,0,0,0,0,25.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.43,0,17.43,0,0,0,17.43,17.43,0,INITIAL,06/15/17,6/15/17,7000-1.1 (Rev. 06-2014)
8/1/2022,2016,20172861,15240,994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP",ONE WILLIAMS CENTER P.O. BOX 645,TULSA,OK,74172,,HVL,,TEXAS,,20.73,20.73,,,,,,0.000,0.000,0,175681241.000,0.000,0,29.16,0,0,0,0,29.16,0,0,0,0,0,0,0,0,29.16,0,0,0,0,29.16,0,0,0,0,0,0,0,0,0,0,0,0,0,26.54,26.54,1.26,0,1.26,1.04,0,1.04,0,0,0,0.02,0,0.02,0.01,0,0.01,0,0,0,28.87,2.33,26.54,INITIAL,06/15/17,6/15/17,7000-1.1 (Rev. 06-2014)
