"One operator can have multiple reports per year (OPERATOR_ID, REPORT_YEAR, PARTA5COMMODITY, REPORT_NUMBER)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Records sorted by REPORT_YEAR, OPERATOR_ID, PARTA5COMMODITY, REPORT_NUMBER.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA4STREET,PARTA4CITY,PARTA4STATE,PARTA4ZIP,PARTA4COUNTRY,PARTA5COMMODITY,PARTA7INTER,PARTA7INTRA,PARTBHCAOFFSHORE,PARTBHCAONSHORE,PARTBHCATOTAL,PARTCOFFCO2,PARTCOFFCRUDE,PARTCOFFETHANOL,PARTCOFFHVL,PARTCOFFRPP,PARTCONCO2,PARTCONCRUDE,PARTCONETHANOL,PARTCONHVL,PARTCONRPP,PARTDONCPB,PARTDONCPC,PARTDONCUB,PARTDONCUC,PARTDONCUP,PARTDONCUO,PARTDONTOTAL,PARTDOFFCPB,PARTDOFFCPC,PARTDOFFCUB,PARTDOFFCUC,PARTDOFFCUP,PARTDOFFCUO,PARTDOFFTOTAL,PARTDCPBTOTAL,PARTDCPCTOTAL,PARTDCUBTOTAL,PARTDCUCTOTAL,PARTDCUPTOTAL,PARTDCUOTOTAL,PARTDTOTALMILES,PARTEUNKNHF,PARTEUNKNLF,PARTEUNKNTOTAL,PARTEPRE40HF,PARTEPRE40LF,PARTEPRE40TOTAL,PARTE1940HF,PARTE1940LF,PARTE1940TOTAL,PARTE1950HF,PARTE1950LF,PARTE1950TOTAL,PARTE1960HF,PARTE1960LF,PARTE1960TOTAL,PARTE1970HF,PARTE1970LF,PARTE1970TOTAL,PARTE1980HF,PARTE1980LF,PARTE1980TOTAL,PARTE1990HF,PARTE1990LF,PARTE1990TOTAL,PARTE2000HF,PARTE2000LF,PARTE2000TOTAL,PARTE2010HF,PARTE2010LF,PARTE2010TOTAL,PARTE2020HF,PARTE2020LF,PARTE2020TOTAL,PARTETOTAL,PARTETOTALHF,PARTETOTALLF,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE,FORM_REV
8/1/2022,2014,20151441,13576,300,"PLAINS PIPELINE, L.P.","333 CLAY STREET, SUITE 1600",HOUSTON,TX,77002,,Crude Oil,"ALABAMA, CALIFORNIA, COLORADO, ILLINOIS, KANSAS, LOUISIANA, MISSISSIPPI, MONTANA, NEW MEXICO, NORTH DAKOTA, OKLAHOMA, TEXAS, UTAH, WYOMING","ALABAMA, CALIFORNIA, COLORADO, ILLINOIS, KANSAS, LOUISIANA, MISSISSIPPI, MONTANA, NEW MEXICO, NORTH DAKOTA, OKLAHOMA, TEXAS, WYOMING",46.98,2186.04,2233.02,,96369360,,,,,144061855318.000,,,,286.57,6096.03,0,0,0,0,6382.6,0,46.98,0,0,0,0,46.98,286.57,6143.01,0,0,0,0,6429.58,72.26,0,72.26,0,56.7,56.7,0,738.64,738.64,0.02,229.89,229.91,0,490.59,490.59,188.46,0,188.46,374.48,0,374.48,343.58,0,343.58,444.37,0,444.37,945.39,0,945.39,0,0,0,3884.38,2368.56,1515.82,SUPPLEMENTAL,06/12/15,6/12/15,7000-1.1 (Rev. 06-2014)
8/1/2022,2014,20151442,13569,300,"PLAINS PIPELINE, L.P.","333 CLAY STREET, SUITE 1600",HOUSTON,TX,77002,,Refined and/or Petroleum Product (non-HVL),,TEXAS,,,0.00,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INITIAL,06/12/15,6/12/15,7000-1.1 (Rev. 06-2014)
8/1/2022,2014,20151211,13331,395,AMOCO OIL CO,150 W. WARRENVILLE RD,NAPERVILLE,IL,60563,,Refined and/or Petroleum Product (non-HVL),"ILLINOIS, INDIANA, IOWA, MICHIGAN, MINNESOTA, MISSOURI",,,661.9,661.9,,,,,,0.000,0.000,0,0.000,11715162232.000,0,1151,0,0,0,0,1151,0,0,0,0,0,0,0,0,1151,0,0,0,0,1151,0,0,0,0,0,0,0,15,15,0,0,0,0,1,1,1,1,2,18,0,18,59,0,59,3,0,3,0,0,0,0,0,0,98,81,17,SUPPLEMENTAL,05/22/15,5/27/15,7000-1.1 (Rev. 06-2014)
8/1/2022,2014,20151190,13297,401,HESS CORPORATION,1501 MCKINNEY STREET,HOUSTON,TX,77010,,CO2,,"NEW MEXICO, TEXAS",,0.00,0.00,,,,,,288522098.000,0.000,0,0.000,0.000,0,31.5,0,0,0,0,31.5,0,0,0,0,0,0,0,0,31.5,0,0,0,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,16,0,16,11.5,0,11.5,0,0,0,31.5,31.5,0,INITIAL,05/19/15,5/19/15,7000-1.1 (Rev. 06-2014)
8/1/2022,2014,20151563,13701,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC","1515 Arapahoe Street TOWER 1, SUITE 1600",Denver,CO,80202,,HVL,,TEXAS,,0.30,0.30,,,,,,,,,489629250.000,,0,49.5,0,0,0,0,49.5,0,0,0,0,0,0,0,0,49.5,0,0,0,0,49.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.3,0,49.3,0.2,0,0.2,0,0,0,49.5,49.5,0,INITIAL,06/15/15,6/15/15,7000-1.1 (Rev. 06-2014)
8/1/2022,2014,20151252,13364,473,ANADARKO PETROLEUM CORP,"1201 LAKE ROBBINS DR. POB 1330, HOUSTON, 77251-1330",THE WOODLANDS,TX,77380,,CO2,,WYOMING,,0.00,0.00,,,,,,1823676308.000,0.000,0,0.000,0.000,0,155,0,0,0,0,155,0,0,0,0,0,0,0,0,155,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,155,0,0,0,0,0,0,155,155,0,INITIAL,06/02/15,6/2/15,7000-1.1 (Rev. 06-2014)
8/1/2022,2014,20151599,13747,473,ANADARKO PETROLEUM CORP,"1201 LAKE ROBBINS DR. POB 1330, HOUSTON, 77251-1330",THE WOODLANDS,TX,77380,,Crude Oil,,"COLORADO, TEXAS, WYOMING",,21,21,,,,,,0.000,1523401147.000,0,0.000,0.000,0,136.7,0,0,0,0,136.7,0,0,0,0,0,0,0,0,136.7,0,0,0,0,136.7,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,0,16,16,0,0,0,0,0,0,0,0,0,77.7,0,77.7,0,0,0,136.7,77.7,59,INITIAL,06/15/15,6/15/15,7000-1.1 (Rev. 06-2014)
8/1/2022,2014,20151579,13723,473,ANADARKO PETROLEUM CORP,"1201 LAKE ROBBINS DR. POB 1330, HOUSTON, 77251-1330",THE WOODLANDS,TX,77380,,HVL,,"UTAH, WYOMING",,0,0,,,,,,0.000,0.000,0,106046202.000,0.000,0,35.3,0,0,0,0,35.3,0,0,0,0,0,0,0,0,35.3,0,0,0,0,35.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,16.5,0,16.5,14.8,0,14.8,0,0,0,35.3,35.3,0,INITIAL,06/15/15,6/15/15,7000-1.1 (Rev. 06-2014)
8/1/2022,2014,20151157,13260,515,DAKOTA GASIFICATION COMPANY,GREAT PLAINS SYNFUELS PLANT 1717 EAST INTERSTATE AVENUE,BISMARCK,ND,58503-0564,,CO2,NORTH DAKOTA,,,32.9,32.9,,,,,,2959697200.000,,,,,0,167.04,0,0,0,0,167.04,0,0,0,0,0,0,0,0,167.04,0,0,0,0,167.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.78,0,164.78,2,0,2,0.26,0,0.26,0,0,0,167.04,167.04,0,INITIAL,04/27/15,4/27/15,7000-1.1 (Rev. 06-2014)
8/1/2022,2014,20151604,13752,879,CHEMOIL TERMINALS CORP.,"4 EMBARCADERO CTR., 34TH FLOOR",SAN FRANCISCO,CA,94111,,Refined and/or Petroleum Product (non-HVL),,CALIFORNIA,,12.11,12.11,,,,,,,,,,14284921.000,0,30.584,0,0,0,0,30.584,0,0,0,0,0,0,0,0,30.584,0,0,0,0,30.584,0,5.2,5.2,0,0,0,0,0,0,0,0,0,0,0,0,18.817,0,18.817,0,0,0,0.1,0,0.1,2.71,0,2.71,3.2,0,3.2,0,0,0,30.027,24.827,5.2,INITIAL,06/15/15,6/15/15,7000-1.1 (Rev. 06-2014)
