"One operator can have multiple reports per year (OPERATOR_ID, REPORT_YEAR, PARTA5COMMODITY, REPORT_NUMBER)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Records sorted by REPORT_YEAR, OPERATOR_ID, PARTA5COMMODITY, REPORT_NUMBER.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA4STREET,PARTA4CITY,PARTA4STATE,PARTA4ZIP,PARTA4COUNTRY,PARTA5COMMODITY,PARTA7INTER,PARTA7INTRA,PARTBHCAOFFSHORE,PARTBHCAONSHORE,PARTBHCATOTAL,PARTCOFFCO2,PARTCOFFCRUDE,PARTCOFFETHANOL,PARTCOFFHVL,PARTCOFFRPP,PARTCONCO2,PARTCONCRUDE,PARTCONETHANOL,PARTCONHVL,PARTCONRPP,PARTDONCPB,PARTDONCPC,PARTDONCUB,PARTDONCUC,PARTDONCUP,PARTDONCUO,PARTDONTOTAL,PARTDOFFCPB,PARTDOFFCPC,PARTDOFFCUB,PARTDOFFCUC,PARTDOFFCUP,PARTDOFFCUO,PARTDOFFTOTAL,PARTDCPBTOTAL,PARTDCPCTOTAL,PARTDCUBTOTAL,PARTDCUCTOTAL,PARTDCUPTOTAL,PARTDCUOTOTAL,PARTDTOTALMILES,PARTEUNKNHF,PARTEUNKNLF,PARTEUNKNTOTAL,PARTEPRE40HF,PARTEPRE40LF,PARTEPRE40TOTAL,PARTE1940HF,PARTE1940LF,PARTE1940TOTAL,PARTE1950HF,PARTE1950LF,PARTE1950TOTAL,PARTE1960HF,PARTE1960LF,PARTE1960TOTAL,PARTE1970HF,PARTE1970LF,PARTE1970TOTAL,PARTE1980HF,PARTE1980LF,PARTE1980TOTAL,PARTE1990HF,PARTE1990LF,PARTE1990TOTAL,PARTE2000HF,PARTE2000LF,PARTE2000TOTAL,PARTE2010HF,PARTE2010LF,PARTE2010TOTAL,PARTE2020HF,PARTE2020LF,PARTE2020TOTAL,PARTETOTAL,PARTETOTALHF,PARTETOTALLF,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE,FORM_REV
8/1/2022,2015,20162268,14541,300,"PLAINS PIPELINE, L.P.","333 CLAY STREET, SUITE 1600",HOUSTON,TX,77002,,Crude Oil,"ALABAMA, CALIFORNIA, COLORADO, ILLINOIS, KANSAS, LOUISIANA, MISSISSIPPI, MONTANA, NEW MEXICO, NORTH DAKOTA, OKLAHOMA, TEXAS, UTAH, WYOMING","ALABAMA, CALIFORNIA, COLORADO, KANSAS, LOUISIANA, MISSISSIPPI, MONTANA, NEW MEXICO, NORTH DAKOTA, OKLAHOMA, TEXAS",0,2301.7,2301.7,,70350718,,,,,155171176559.000,,,,246.76,6099.84,0,0,0,2642.82,8989.42,0,9.48,0,0,0,46.99,56.47,246.76,6109.32,0,0,0,2689.81,9045.89,3.88,54.37,58.25,0.27,57.22,57.49,0,779.88,779.88,0.12,375.68,375.8,0,602.54,602.54,225.52,1.44,226.96,390.58,0.17,390.75,491.67,0.11,491.78,457.92,0,457.92,1681.66,0,1681.66,0,0,0,5123.03,3251.62,1871.41,INITIAL,06/15/16,6/15/16,7000-1.1 (Rev. 06-2014)
8/1/2022,2015,20162271,14866,300,"PLAINS PIPELINE, L.P.","333 CLAY STREET, SUITE 1600",HOUSTON,TX,77002,,HVL,"MICHIGAN, OHIO","CALIFORNIA, TEXAS",0.00,128.21,128.21,,,,0,,,,,160009704.000,,0,116.1,0,0,0,57.68,173.78,0,0,0,0,0,0,0,0,116.1,0,0,0,57.68,173.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,9.22,0,9.22,0,0,0,9.23,9.23,0,SUPPLEMENTAL,06/15/16,6/2/17,7000-1.1 (Rev. 06-2014)
8/1/2022,2015,20162272,14547,300,"PLAINS PIPELINE, L.P.","333 CLAY STREET, SUITE 1600",HOUSTON,TX,77002,,Refined and/or Petroleum Product (non-HVL),,CALIFORNIA,,0,0,,,,,,,,,,0.000,0,0,0,0,0,3.72,3.72,0,0,0,0,0,0,0,0,0,0,0,0,3.72,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,INITIAL,06/15/16,6/15/16,7000-1.1 (Rev. 06-2014)
8/1/2022,2015,20161850,14081,395,AMOCO OIL CO,30S WACKER DRIVE M.C. 9S,CHICAGO,IL,60606,,Refined and/or Petroleum Product (non-HVL),"ILLINOIS, INDIANA, IOWA, MICHIGAN, MINNESOTA, MISSOURI",,,661.90,661.90,,,,,,,,,,12308628466.000,0,1151,0,0,0,0,1151,0,0,0,0,0,0,0,0,1151,0,0,0,0,1151,0,0,0,0,1,1,0,15,15,0,0,0,0,1,1,1,1,2,18,0,18,59,0,59,4,0,4,0,0,0,0,0,0,100,82,18,INITIAL,05/31/16,5/31/16,7000-1.1 (Rev. 06-2014)
8/1/2022,2015,20161737,13954,401,HESS CORPORATION,1501 MCKINNEY STREET,HOUSTON,TX,77010,,CO2,,"NEW MEXICO, TEXAS",,0.00,0.00,,,,,,302691370.000,0.000,0,0.000,0.000,0,31.5,0,0,0,0,31.5,0,0,0,0,0,0,0,0,31.5,0,0,0,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,16,0,16,11.5,0,11.5,0,0,0,31.5,31.5,0,INITIAL,02/18/16,2/18/16,7000-1.1 (Rev. 06-2014)
8/1/2022,2015,20162303,14581,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC","1515 Arapahoe Street TOWER 1, SUITE 1600",Denver,CO,80202,,HVL,,TEXAS,,0.30,0.30,,,,,,,,,485851500.000,,0,49.3,0,0,0,0,49.3,0,0,0,0,0,0,0,0,49.3,0,0,0,0,49.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.3,0,49.3,0,0,0,0,0,0,49.3,49.3,0,INITIAL,06/15/16,6/15/16,7000-1.1 (Rev. 06-2014)
8/1/2022,2015,20162277,14552,473,ANADARKO PETROLEUM CORP,"1201 LAKE ROBBINS DR. POB 1330, HOUSTON, 77251-1330",THE WOODLANDS,TX,77380,,Crude Oil,,"COLORADO, TEXAS, WYOMING",,31,31,,,,,,0.000,5581365411.000,0,0.000,0.000,0,124.5,0,0,0,0,124.5,0,0,0,0,0,0,0,0,124.5,0,0,0,0,124.5,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,0,4,4,0,0,0,0,0,0,0,0,0,77.5,0,77.5,0,0,0,124.5,77.5,47,INITIAL,06/15/16,6/15/16,7000-1.1 (Rev. 06-2014)
8/1/2022,2015,20162278,14553,473,ANADARKO PETROLEUM CORP,"1201 LAKE ROBBINS DR. POB 1330, HOUSTON, 77251-1330",THE WOODLANDS,TX,77380,,HVL,,"UTAH, WYOMING",,0,0,,,,,,,,,6775490.000,,0,35.3,0,0,0,0,35.3,0,0,0,0,0,0,0,0,35.3,0,0,0,0,35.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,16.5,0,16.5,14.8,0,14.8,0,0,0,35.3,35.3,0,INITIAL,06/15/16,6/15/16,7000-1.1 (Rev. 06-2014)
8/1/2022,2015,20161765,13983,515,DAKOTA GASIFICATION COMPANY,GREAT PLAINS SYNFUELS PLANT 1717 EAST INTERSTATE AVENUE,BISMARCK,ND,58503-0564,,CO2,NORTH DAKOTA,,,32.9,32.9,,,,,,2391896866.000,,,,,0,167.04,0,0,0,0,167.04,0,0,0,0,0,0,0,0,167.04,0,0,0,0,167.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.55,0,164.55,2.22,0,2.22,0.27,0,0.27,0,0,0,167.04,167.04,0,INITIAL,03/16/16,3/16/16,7000-1.1 (Rev. 06-2014)
8/1/2022,2015,20162181,14451,879,CHEMOIL TERMINALS CORP.,"4 EMBARCADERO CTR., 34TH FLOOR",SAN FRANCISCO,CA,94111,,Refined and/or Petroleum Product (non-HVL),,CALIFORNIA,,12.11,12.11,,,,,,,,,,15011986.000,0,30.584,0,0,0,0,30.584,0,0,0,0,0,0,0,0,30.584,0,0,0,0,30.584,0,5.2,5.2,0,0,0,0,0,0,0,0,0,0,0,0,18.817,0,18.817,0,0,0,0.1,0,0.1,2.71,0,2.71,3.2,0,3.2,0,0,0,30.027,24.827,5.2,INITIAL,06/14/16,6/14/16,7000-1.1 (Rev. 06-2014)
