"One operator can have multiple reports per year (OPERATOR_ID, REPORT_YEAR, PARTA5COMMODITY, REPORT_NUMBER)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Records sorted by REPORT_YEAR, OPERATOR_ID, PARTA5COMMODITY, REPORT_NUMBER.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA4STREET,PARTA4CITY,PARTA4STATE,PARTA4ZIP,PARTA4COUNTRY,PARTA5COMMODITY,PARTA7INTER,PARTA7INTRA,PARTBHCAOFFSHORE,PARTBHCAONSHORE,PARTBHCATOTAL,PARTCOFFCO2,PARTCOFFCRUDE,PARTCOFFETHANOL,PARTCOFFHVL,PARTCOFFRPP,PARTCONCO2,PARTCONCRUDE,PARTCONETHANOL,PARTCONHVL,PARTCONRPP,PARTDONCPB,PARTDONCPC,PARTDONCUB,PARTDONCUC,PARTDONCUP,PARTDONCUO,PARTDONTOTAL,PARTDOFFCPB,PARTDOFFCPC,PARTDOFFCUB,PARTDOFFCUC,PARTDOFFCUP,PARTDOFFCUO,PARTDOFFTOTAL,PARTDCPBTOTAL,PARTDCPCTOTAL,PARTDCUBTOTAL,PARTDCUCTOTAL,PARTDCUPTOTAL,PARTDCUOTOTAL,PARTDTOTALMILES,PARTEUNKNHF,PARTEUNKNLF,PARTEUNKNTOTAL,PARTEPRE40HF,PARTEPRE40LF,PARTEPRE40TOTAL,PARTE1940HF,PARTE1940LF,PARTE1940TOTAL,PARTE1950HF,PARTE1950LF,PARTE1950TOTAL,PARTE1960HF,PARTE1960LF,PARTE1960TOTAL,PARTE1970HF,PARTE1970LF,PARTE1970TOTAL,PARTE1980HF,PARTE1980LF,PARTE1980TOTAL,PARTE1990HF,PARTE1990LF,PARTE1990TOTAL,PARTE2000HF,PARTE2000LF,PARTE2000TOTAL,PARTE2010HF,PARTE2010LF,PARTE2010TOTAL,PARTE2020HF,PARTE2020LF,PARTE2020TOTAL,PARTETOTAL,PARTETOTALHF,PARTETOTALLF,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE,FORM_REV
8/1/2022,2012,20130248,13178,300,"PLAINS PIPELINE, L.P.","333 CLAY STREET, SUITE 1600",HOUSTON,TX,77002,,Crude Oil,"ALABAMA, CALIFORNIA, COLORADO, ILLINOIS, KANSAS, LOUISIANA, MISSISSIPPI, MONTANA, NEW MEXICO, NORTH DAKOTA, OKLAHOMA, TEXAS, UTAH, WYOMING","ALABAMA, CALIFORNIA, ILLINOIS, KANSAS, LOUISIANA, MISSISSIPPI, MONTANA, NEW MEXICO, NORTH DAKOTA, OKLAHOMA, TEXAS, UTAH, WYOMING",46.98,2038.24,2085.22,0,10485446909,0,0,0,0.000,127318009011.000,0,0.000,0.000,286.21,5271.49,0,0,0,0,5557.7,0,46.98,0,0,0,0,46.98,286.21,5318.47,0,0,0,0,5604.68,9.1,94.88,103.98,0,0,0,0,744.99,744.99,0,188.77,188.77,2.85,519.92,522.77,221.19,0,221.19,399.67,0,399.67,379.28,0,379.28,456.54,0,456.54,100.87,0,100.87,0,0,0,3118.06,1569.5,1548.56,SUPPLEMENTAL,06/12/13,7/15/14,7000-1.1 (Rev. 06-2011)
8/1/2022,2012,20130249,12040,300,"PLAINS PIPELINE, L.P.","333 CLAY STREET, SUITE 1600",HOUSTON,TX,77002,,Refined and/or Petroleum Product (non-HVL),"COLORADO, NEBRASKA, NEW MEXICO, SOUTH DAKOTA, TEXAS, WYOMING",,,265.17,265.17,,,,,,,,,,4740079336.000,0,903.15,0,0,0,0,903.15,0,0,0,0,0,0,0,0,903.15,0,0,0,0,903.15,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,188.43,188.43,1.17,0,1.17,4.43,0,4.43,2.85,0,2.85,0.35,0,0.35,0,0,0,0,0,0,198.03,8.8,189.23,INITIAL,06/12/13,6/12/13,7000-1.1 (Rev. 06-2011)
8/1/2022,2012,20130072,11768,395,AMOCO OIL CO,150 W. WARRENVILLE RD,NAPERVILLE,IL,60563,,Refined and/or Petroleum Product (non-HVL),"ILLINOIS, INDIANA, IOWA, MICHIGAN, MINNESOTA, MISSOURI",,,527,527,,,,,,0.000,0.000,0,0.000,10663946474.000,0,1151,0,0,0,0,1151,0,0,0,0,0,0,0,0,1151,0,0,0,0,1151,0,0,0,0,0,0,0,15,15,0,0,0,0,1,1,1,1,2,17,0,17,58,0,58,2,0,2,0,0,0,0,0,0,95,78,17,INITIAL,05/17/13,5/17/13,7000-1.1 (Rev. 06-2011)
8/1/2022,2012,20130148,11910,401,HESS CORPORATION,1501 MCKINNEY STREET,HOUSTON,TX,77010,,CO2,,"NEW MEXICO, TEXAS",,,0,,,,,,1438777.000,,,,,0,31.5,0,0,0,0,31.5,0,0,0,0,0,0,0,0,31.5,0,0,0,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,16,0,16,11.5,0,11.5,0,0,0,0,0,0,31.5,31.5,0,INITIAL,06/05/13,6/5/13,7000-1.1 (Rev. 06-2011)
8/1/2022,2012,20130479,12297,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC","1515 Arapahoe Street, TOWER 1, SUITE 1600",Denver,CO,80202,,HVL,,TEXAS,0,49,49,,,,0,,,,,405989500.000,,0,49,0,0,0,0,49,0,0,0,0,0,0,0,0,49,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,49,0,0,0,0,0,0,49,49,0,INITIAL,06/15/13,6/15/13,7000-1.1 (Rev. 06-2011)
8/1/2022,2012,20130040,11727,473,ANADARKO PETROLEUM CORP,"1201 Lake Robbin Dr., (POB 1330, HOouston, 77251-1330)",THE WOODLANDS,TX,77380,,CO2,,WYOMING,,,0,,,,,,1282882408.000,,,,,0,155,0,0,0,0,155,0,0,0,0,0,0,0,0,155,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,155,0,0,0,0,0,0,155,155,0,INITIAL,04/09/13,4/9/13,7000-1.1 (Rev. 06-2011)
8/1/2022,2012,20130042,11729,473,ANADARKO PETROLEUM CORP,"1201 Lake Robbin Dr., (POB 1330, HOouston, 77251-1330)",THE WOODLANDS,TX,77380,,Crude Oil,,"COLORADO, TEXAS, WYOMING",,21,21,,,,,,,321244381.000,,,,0,98,0,0,0,0,98,0,0,0,0,0,0,0,0,98,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,0,16,16,0,0,0,0,0,0,0,0,0,39,0,39,0,0,0,98,39,59,INITIAL,04/09/13,4/9/13,7000-1.1 (Rev. 06-2011)
8/1/2022,2012,20130041,11728,473,ANADARKO PETROLEUM CORP,"1201 Lake Robbin Dr., (POB 1330, HOouston, 77251-1330)",THE WOODLANDS,TX,77380,,HVL,,"COLORADO, UTAH, WYOMING",,,0,,,,,,,,,95325411.000,,0,35.6,0,0,0,0,35.6,0,0,0,0,0,0,0,0,35.6,0,0,0,0,35.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,16.8,0,16.8,14.8,0,14.8,0,0,0,35.6,35.6,0,INITIAL,04/09/13,4/9/13,7000-1.1 (Rev. 06-2011)
8/1/2022,2012,20130052,11743,515,DAKOTA GASIFICATION COMPANY,"GREAT PLAINS SYNFUELS PLANT, 1717 EAST INTERSTATE AVENUE",BISMARCK,ND,58503-0564,,CO2,NORTH DAKOTA,,,32.9,32.9,,,,,,8467317271.000,,,,,0,167.04,0,0,0,0,167.04,0,0,0,0,0,0,0,0,167.04,0,0,0,0,167.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.78,0,164.78,2,0,2,0.26,0,0.26,0,0,0,167.04,167.04,0,INITIAL,04/18/13,4/18/13,7000-1.1 (Rev. 06-2011)
8/1/2022,2012,20130371,12177,879,CHEMOIL TERMINALS CORP.,"4 EMBARCADERO CTR., 34TH FLOOR",SAN FRANCISCO,CA,94111,,Refined and/or Petroleum Product (non-HVL),,CALIFORNIA,,9.78,9.78,,,,,,,,,,13642511.000,0,36.747,0,0,0,0,36.747,0,0,0,0,0,0,0,0,36.747,0,0,0,0,36.747,0,7.92,7.92,0,0,0,0,0,0,0,0,0,7.2,0,7.2,18.817,0,18.817,0,0,0,0.1,0,0.1,2.71,0,2.71,0,0,0,0,0,0,36.747,28.827,7.92,INITIAL,06/14/13,6/14/13,7000-1.1 (Rev. 06-2011)
8/1/2022,2012,20130157,11929,994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP","ONE WILLIAMS CENTER, P.O. BOX 645",TULSA,OK,74101,,Crude Oil,"ALABAMA, LOUISIANA",,0,,0,,514564915.8,,,,,,,,,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,8,8,0,INITIAL,06/06/13,6/6/13,7000-1.1 (Rev. 06-2011)
8/1/2022,2012,20130168,12474,994,"WILLIAMS FIELD SERVICES - GULF COAST COMPANY, LP","ONE WILLIAMS CENTER, P.O. BOX 645",TULSA,OK,74101,,HVL,,TEXAS,,21.2,21.2,,,,,,,,,18939146.000,,0,90,0,0,0,0,90,0,0,0,0,0,0,0,0,90,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,85,85,4,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90,5,85,SUPPLEMENTAL,06/06/13,9/9/13,7000-1.1 (Rev. 06-2011)
