"One operator can have multiple reports per year (OPERATOR_ID, REPORT_YEAR, PARTA5COMMODITY, REPORT_NUMBER)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Records sorted by REPORT_YEAR, OPERATOR_ID, PARTA5COMMODITY, REPORT_NUMBER.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DATAFILE_AS_OF,REPORT_YEAR,REPORT_NUMBER,SUPPLEMENTAL_NUMBER,OPERATOR_ID,PARTA2NAMEOFCOMP,PARTA4STREET,PARTA4CITY,PARTA4STATE,PARTA4ZIP,PARTA4COUNTRY,PARTA5COMMODITY,PARTA7INTER,PARTA7INTRA,PARTBHCAOFFSHORE,PARTBHCAONSHORE,PARTBHCATOTAL,PARTCOFFCO2,PARTCOFFCRUDE,PARTCOFFETHANOL,PARTCOFFHVL,PARTCOFFRPP,PARTCONCO2,PARTCONCRUDE,PARTCONETHANOL,PARTCONHVL,PARTCONRPP,PARTDONCPB,PARTDONCPC,PARTDONCUB,PARTDONCUC,PARTDONCUP,PARTDONCUO,PARTDONTOTAL,PARTDOFFCPB,PARTDOFFCPC,PARTDOFFCUB,PARTDOFFCUC,PARTDOFFCUP,PARTDOFFCUO,PARTDOFFTOTAL,PARTDCPBTOTAL,PARTDCPCTOTAL,PARTDCUBTOTAL,PARTDCUCTOTAL,PARTDCUPTOTAL,PARTDCUOTOTAL,PARTDTOTALMILES,PARTEUNKNHF,PARTEUNKNLF,PARTEUNKNTOTAL,PARTEPRE40HF,PARTEPRE40LF,PARTEPRE40TOTAL,PARTE1940HF,PARTE1940LF,PARTE1940TOTAL,PARTE1950HF,PARTE1950LF,PARTE1950TOTAL,PARTE1960HF,PARTE1960LF,PARTE1960TOTAL,PARTE1970HF,PARTE1970LF,PARTE1970TOTAL,PARTE1980HF,PARTE1980LF,PARTE1980TOTAL,PARTE1990HF,PARTE1990LF,PARTE1990TOTAL,PARTE2000HF,PARTE2000LF,PARTE2000TOTAL,PARTE2010HF,PARTE2010LF,PARTE2010TOTAL,PARTE2020HF,PARTE2020LF,PARTE2020TOTAL,PARTETOTAL,PARTETOTALHF,PARTETOTALLF,REPORT_SUBMISSION_TYPE,REPORT_DATE,FILING_DATE,FORM_REV
8/1/2022,2011,20120319,13179,300,"PLAINS PIPELINE, L.P.",333 CLAY STREET,HOUSTON,TX,772104648,,Crude Oil,"ALABAMA, CALIFORNIA, COLORADO, ILLINOIS, KANSAS, LOUISIANA, MISSISSIPPI, MONTANA, NEW MEXICO, NORTH DAKOTA, OKLAHOMA, TEXAS, UTAH, WYOMING","ALABAMA, CALIFORNIA, KANSAS, LOUISIANA, MISSISSIPPI, MONTANA, NEW MEXICO, NORTH DAKOTA, OKLAHOMA, TEXAS, UTAH, WYOMING",46.98,1941.16,1988.14,,0,,,,,114821379783.000,,,,288.1,4967.63,0,0,0,0,5255.73,0,46.98,0,0,0,0,46.98,288.1,5014.61,0,0,0,0,5303,9.46,79.45,88.91,0,0,0,0,736.38,736.38,0,77.62,77.62,0,466.57,466.57,195.56,1.33,196.89,394.63,0,394.63,489.08,0,489.08,449.98,0,449.98,6.4,0,6.4,0,0,0,2906.46,1545.11,1361.35,SUPPLEMENTAL,06/14/12,7/15/14,7000-1.1 (Rev. 06-2011)
8/1/2022,2011,20120310,12433,300,"PLAINS PIPELINE, L.P.",333 CLAY STREET,HOUSTON,TX,772104648,,Refined and/or Petroleum Product (non-HVL),"COLORADO, NEBRASKA, NEW MEXICO, SOUTH DAKOTA, TEXAS, WYOMING",,0,326.8,326.8,,,,,,,,,,4095071798.000,0,903.15,0,0,0,0,903.15,0,0,0,0,0,0,0,0,903.15,0,0,0,0,903,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0,188.43,188.43,1.17,0,1.17,4.43,0,4.43,2.85,0,2.85,0.35,0,0.35,0,0,0,0,0,0,198.03,8.8,189.23,SUPPLEMENTAL,06/14/12,8/8/13,7000-1.1 (Rev. 06-2011)
8/1/2022,2011,20120131,11623,395,AMOCO OIL CO,150 W. WARRENVILLE RD,NAPERVILLE,IL,60563,,Refined and/or Petroleum Product (non-HVL),"ILLINOIS, INDIANA, IOWA, MICHIGAN, MINNESOTA, MISSOURI",,,527,527,,,,,,0.000,0.000,0,0.000,13816671735.000,0,1151,0,0,0,0,1151,0,0,0,0,0,0,0,0,1151,0,0,0,0,1151,0,0,0,0,0,0,0,15,15,0,0,0,0,1,1,1,1,2,17,0,17,58,0,58,2,0,2,0,0,0,0,0,0,95,78,17,SUPPLEMENTAL,06/07/12,11/16/12,7000-1.1 (Rev. 06-2011)
8/1/2022,2011,20120074,11103,401,HESS CORPORATION,1501 MCKINNEY STREET,BLOOMINGTON,TX,77010,,CO2,,"NEW MEXICO, TEXAS",,,0,,,,,,1263344.000,,,,,0,31.5,0,0,0,0,31.5,0,0,0,0,0,0,0,0,31.5,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,16,0,16,11.5,0,11.5,0,0,0,0,0,0,31.5,31.5,0,INITIAL,05/24/12,5/24/12,7000-1.1 (Rev. 06-2011)
8/1/2022,2011,20120362,11403,402,"MARKWEST EAST TEXAS PNG UTILITY, LLC","Tower 1, Suite 1600 1515 Arapahoe St.",Denver,CO,80202,,HVL,,TEXAS,,49,49,,,,,,,,,279006000.000,,0,49,0,0,0,0,49,0,0,0,0,0,0,0,0,49,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,49,0,0,0,0,0,0,49,49,0,INITIAL,06/15/12,6/15/12,7000-1.1 (Rev. 06-2011)
8/1/2022,2011,20120045,11065,473,ANADARKO PETROLEUM CORP,1201 Lake Robbin Dr.,Woodlands,TX,77380,,CO2,,WYOMING,,,0,,,,,,2071215654.000,,,,,0,155,0,0,0,0,155,0,0,0,0,0,0,0,0,155,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,0,155,0,0,0,0,0,0,155,155,0,INITIAL,05/09/12,5/9/12,7000-1.1 (Rev. 06-2011)
8/1/2022,2011,20120047,11070,473,ANADARKO PETROLEUM CORP,1201 Lake Robbin Dr.,Woodlands,TX,77380,,Crude Oil,,"TEXAS, WYOMING",,12,12,,,,,,,64178749.000,,,,0,87,0,0,0,0,87,0,0,0,0,0,0,0,0,87,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,43,43,0,16,16,0,0,0,0,0,0,0,0,0,28,0,28,0,0,0,87,28,59,SUPPLEMENTAL,05/09/12,5/9/12,7000-1.1 (Rev. 06-2011)
8/1/2022,2011,20120046,11066,473,ANADARKO PETROLEUM CORP,1201 Lake Robbin Dr.,Woodlands,TX,77380,,HVL,,"COLORADO, UTAH, WYOMING",,,0,,,,,,,,,98220501.000,,0,65.8,0,0,0,0,65.8,0,0,0,0,0,0,0,0,65.8,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,47,0,47,16.8,0,16.8,0,0,0,0,0,0,65.8,65.8,0,INITIAL,05/09/12,5/9/12,7000-1.1 (Rev. 06-2011)
8/1/2022,2011,20120077,11106,515,DAKOTA GASIFICATION COMPANY,1717 East Interstate Avenue,BEULAH,ND,58503-0864,,CO2,NORTH DAKOTA,,,15.15,15.15,,,,,,7588076714.000,,,,,0,167.04,0,0,0,0,167.04,0,0,0,0,0,0,0,0,167.04,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.78,0,164.78,2,0,2,0.26,0,0.26,0,0,0,167.04,167.04,0,INITIAL,05/29/12,5/29/12,7000-1.1 (Rev. 06-2011)
8/1/2022,2011,20120394,12231,879,CHEMOIL TERMINALS CORP.,2365 E. SEPULVEDA BLVD.,LONG BEACH,CA,908101944,,Refined and/or Petroleum Product (non-HVL),,CALIFORNIA,,9.78,9.78,,,,,,0.000,0.000,0,0.000,24090570.000,0,36.747,0,0,0,0,36.747,0,0,0,0,0,0,0,0,36.747,0,0,0,0,37,0,7.92,7.92,0,0,0,0,0,0,0,0,0,7.2,0,7.2,18.817,0,18.817,0,0,0,0.1,0,0.1,2.71,0,2.71,0,0,0,0,0,0,36.747,28.827,7.92,SUPPLEMENTAL,06/15/12,6/14/13,7000-1.1 (Rev. 06-2011)
